Last name,First name,SSN,Test1,Test2,Test3,Test4,Final,Grade
Adam ,Donachie,143-12-1234,40,90,100,83,49,D-
Paul ,Bako,565-89-0123,41,97,96,97,48,D+
Ramon ,Hernandez,087-75-4321,41,80,60,40,44,C
Kevin ,Millar,456-71-9012,42,23,36,45,47,B-
Chris ,Gomez,234-56-2890,43,78,88,77,45,A-
Brian ,Roberts,345-67-3901,44,90,80,90,46,C-
Miguel ,Tejada,632-79-9439,45,11,-1,4,43,F
Melvin ,Mora,123-45-6789,46,20,30,40,50,B+
Aubrey ,Huff,123-12-1234,49,1,90,100,83,A
Adam ,Stern,567-89-0123,48,1,97,96,97,A+
Jeff ,Fiorentino,087-65-4321,44,1,80,60,40,D+
Freddie ,Bynum,456-78-9012,47,1,23,36,45,C+
Nick ,Markakis,234-56-7890,45,1,78,88,77,B-
Brandon ,Fahey,345-67-8901,50,1,90,80,90,B-
Corey ,Patterson,632-79-9939,40,1,11,-1,4,B
Jay ,Payton,223-45-6789,30,1,20,30,40,C
